id,type,label,degree,url,is_bridge,org_subtype
author_Ruofan_Jin1,author,Ruofan Jin,4,https://openreview.net/profile?id=~Ruofan_Jin1,,
author_Zonggen_Li1,author,Zonggen Li,4,https://kidlanli.github.io/,,
author_Zhen_Han3,author,Zhen Han,4,https://sites.google.com/view/zhenhan/home,,
author_Haokun_Chen3,author,Haokun Chen,4,https://haokunchen245.github.io/,,
author_Volker_Tresp1,author,Volker Tresp,4,https://www.dbs.ifi.lmu.de/~tresp/,,
author_Aldan_Creo1,author,Aldan Creo,4,https://acmc-website.web.app/intro,,
author_Aaron_Maiwald1,author,Aaron Maiwald,4,https://openreview.net/profile?id=~Aaron_Maiwald1,,
author_Roy_Rinberg1,author,Roy Rinberg,4,https://www.royrinberg.com,,
author_Davis_Brown1,author,Davis Brown,4,https://davisrbrown.com/,,
author_Luze_Sun1,author,Luze Sun,4,https://openreview.net/profile?id=~Luze_Sun1,,
author_Eric_Wong1,author,Eric Wong,4,http://riceric22.github.io/,,
author_Harmon_Bhasin1,author,Harmon Bhasin,4,https://harm0n.com/,,
author_Lauren_E__Malek1,author,Lauren E. Malek,4,https://openreview.net/profile?id=~Lauren_E._Malek1,,
author_Murat_Arcak2,author,Murat Arcak,4,https://www2.eecs.berkeley.edu/Faculty/Homepages/arcak.html,,
author_Jigang_Fan2,author,Jigang Fan,4,https://openreview.net/profile?id=~Jigang_Fan2,,
author_Allison_Berke1,author,Allison Berke,4,https://www.rand.org/pubs/authors/b/berke_allison.html,,
inst_Imperial_College_London,institution,Imperial College London,4,https://imperial.ac.uk,True,
inst_Rutgers_University,institution,Rutgers University,4,https://rutgers.edu,True,
inst_Scale_AI,institution,Scale AI,4,https://scale.com,,
inst_New_York_University,institution,New York University,4,https://www.nyu.edu,,
org_bipartisan_commission_on_biodefense,org,Bipartisan Commission on Biodefense,4,,,
org_igem_foundation,org,iGEM Foundation,4,,,
org_georgetown_center_for_global_health_science_and_security,org,Georgetown Center for Global Health Science and Security,4,,,
org_blue_ribbon_study_panel_on_biodefense,org,Blue Ribbon Study Panel on Biodefense,4,,,
paper_x3yCeCEIb3,presentation,"Position: Without Global Governance, AI-Enabled Biodesign Tools Risk Dangerous Proliferation",3,https://openreview.net/forum?id=x3yCeCEIb3,,
paper_Ci3HSCeZ51,presentation,Involuntary Jailbreak,3,https://openreview.net/forum?id=Ci3HSCeZ51,,
author_Mst_Rafia_Islam1,author,Mst Rafia Islam,3,https://rafia-islam.github.io/,,
author_Kevin_Zhu3,author,Kevin Zhu,3,https://kevinzhu.ai/ and https://www.kevin-zhu.com/,,
